Unit,A unit is a soldier or group of soldiers occupying a single space.
Tile,A tile is a square space in the game along with the buildings or trees that are on it. Current translation: Feld
Rifleman,Unit type. All-round infantry unit.
Gunner,Unit type. Soldier with a heavy machinegun. Possible alternative name: Commando. Current translation: Unterstützungsschütze
Sapper,Unit type. Soldier with a long-distance mortar. Possible alternative name: Artillerist. Current translation: Mörser
Tank,Unit type. Armored tank with a heavy cannon.
Settler,Unit type. Can build settlements.
Militia,Unit type. Fast but fragile infantry unit.
Grass,Tile type.
Dirt,Tile type. Left over after grass was destroyed.
Desert,Tile type.
Rubble,Tile type. Current translation: Geröll
Ridge,Tile type.
Mountain,Tile type. Current translation: Gebirge
Water,Tile type.
Forest,Tile type.
City,Tile type. The most important tile type in the game. Has one or more tall buildings on it. Current translation: Großstadt
Town,Tile type. Has smaller buildings than the City. Current translation: Kleinstadt
Outpost,Tile type. Usually built near enemy borders. Current translation: Außenposten
Industry,Tile type. Produces tanks and generates income. Current translation: Industriegebiet
Barracks,Tile type. Produces military units.
Airfield,Tile type. Produces air units.
Farm,Tile type. Surrounded by Soil or Crops.
Soil,Tile type. Fertile land where Crops can grow. Current translation: Agrarfläche
Crops,Tile type. Similar to a Soil tile but with crops on it. Current translation: Nutzpflanzen
Trenches,Tile type. Current translation: Schützengräben
Snow,Weather effect.
Frostbite,Weather effect. The affected area is extremely cold.
Firestorm,Weather effect. The affected area is on fire.
Bonedrought,Weather effect. The affected area is extremely dry.
Gas,A lethal gas. Current translation: Giftgas
Focus,Ability name. Causes multiple units to focus on one enemy. Current translation: Konzentration
Lockdown,Ability name. Causes a unit to guard a space. Current translation: Abriegeln
Shell,Ability name. Causes a unit to fire explosive rounds at an adjacent space. Current translation: Granate
Bombard,Ability name. Causes a unit to fire mortar rounds at long range.
Capture,Ability name. Causes a tile to change owners. Current translation: Einnehmen
Upgrade,Ability name. Causes a tile to change type or to increase in size. Current translation: Verbesserung
Planning phase,Phase of the game where players give orders to their units and tiles.
Action phase,Phase of the game where units and tiles execute their orders.
Decay phase,Phase of the game where Gas and certain weather effects deal damage. Current translation: Verschleißphase
Night phase,Phase of the game where certain tiles produce income.
Weather phase,Phase of the game where weather effects change.
